 solution n°1 = ([-0.9575937690562874, -0.9575937690560764])
 solution n°2 = ([-0.8386635154716899, -0.8386635154712832])
 solution n°3 = ([-0.648097214732303, -0.6480972147319845])
 solution n°4 = ([-0.41029605898377, -0.4102960589835825])
 solution n°5 = ([-0.1399903628779245, -0.1399903628778549])
 solution n°6 = ([0.1399841438659961, 0.1399841438660558])
 solution n°7 = ([0.410311483901903, 0.4103114839020735])
 solution n°8 = ([0.6480794303792021, 0.6480794303794904])
 solution n°9 = ([0.8386759864812382, 0.838675986481692])
 solution n°10 = ([0.9575896616497784, 0.9575896616499662])

