 solution n°1 = ([-0.9575938823191512, -0.957593882318965])
 solution n°2 = ([-0.8386632830462259, -0.8386632830458067])
 solution n°3 = ([-0.6480975274589388, -0.6480975274586264])
 solution n°4 = ([-0.4102958671320535, -0.410295867131866])
 solution n°5 = ([-0.1399903747105393, -0.1399903747104796])
 solution n°6 = ([0.139984132035404, 0.1399841320354637])
 solution n°7 = ([0.4103116757740355, 0.410311675774206])
 solution n°8 = ([0.6480791176539624, 0.6480791176542749])
 solution n°9 = ([0.8386762188958797, 0.8386762188963334])
 solution n°10 = ([0.9575895483736824, 0.9575895483738856])

